Data Table for Total Cases - The United States
Date generated: Sat Apr 08 2023 17:10:22 GMT+0800 (China Standard Time)
Geography,Date,Total Cases
United States,Apr  5 2023,104242889
United States,Mar 29 2023,104122069
United States,Mar 22 2023,103979843
United States,Mar 15 2023,103804562
United States,Mar  8 2023,103637073
United States,Mar  1 2023,103450096
United States,Feb 22 2023,103221133
United States,Feb 15 2023,102953587
United States,Feb  8 2023,102690191
United States,Feb  1 2023,102404745
United States,Jan 25 2023,102118506
United States,Jan 18 2023,101811648
United States,Jan 11 2023,101472650
United States,Jan  4 2023,101040024
United States,Dec 28 2022,100558923
United States,Dec 21 2022,100157005
United States,Dec 14 2022,99639944
United States,Dec  7 2022,99184686
United States,Nov 30 2022,98712337
United States,Nov 23 2022,98401570
United States,Nov 16 2022,98091965
United States,Nov  9 2022,97811161
United States,Nov  2 2022,97520658
United States,Oct 26 2022,97246322
United States,Oct 19 2022,96985200
United States,Oct 12 2022,96724217
United States,Oct  5 2022,96458773
United States,Sep 28 2022,96143673
United States,Sep 21 2022,95802933
United States,Sep 14 2022,95408824
United States,Sep  7 2022,94940054
United States,Aug 31 2022,94416314
United States,Aug 24 2022,93800103
United States,Aug 17 2022,93149369
United States,Aug 10 2022,92449007
United States,Aug  3 2022,91688521
United States,Jul 27 2022,90855357
United States,Jul 20 2022,89929112
United States,Jul 13 2022,89031864
United States,Jul  6 2022,88165663
United States,Jun 29 2022,87390733
United States,Jun 22 2022,86619797
United States,Jun 15 2022,85935723
United States,Jun  8 2022,85209798
United States,Jun  1 2022,84449509
United States,May 25 2022,83732444
United States,May 18 2022,82969573
United States,May 11 2022,82251146
United States,May  4 2022,81660813
United States,Apr 27 2022,81203351
United States,Apr 20 2022,80833216
United States,Apr 13 2022,80536737
United States,Apr  6 2022,80314053
United States,Mar 30 2022,80113719
United States,Mar 23 2022,79919581
United States,Mar 16 2022,79723586
United States,Mar  9 2022,79509792
United States,Mar  2 2022,79241768
United States,Feb 23 2022,78872634
United States,Feb 16 2022,78324403
United States,Feb  9 2022,77423178
United States,Feb  2 2022,75936568
United States,Jan 26 2022,73218742
United States,Jan 19 2022,68808487
United States,Jan 12 2022,63303786
United States,Jan  5 2022,57826937
United States,Dec 29 2021,53586280
United States,Dec 22 2021,51461401
United States,Dec 15 2021,50297038
United States,Dec  8 2021,49455987
United States,Dec  1 2021,48597186
United States,Nov 24 2021,47987794
United States,Nov 17 2021,47323459
United States,Nov 10 2021,46707176
United States,Nov  3 2021,46169429
United States,Oct 27 2021,45668697
United States,Oct 20 2021,45165130
United States,Oct 13 2021,44634114
United States,Oct  6 2021,44016984
United States,Sep 29 2021,43319303
United States,Sep 22 2021,42521823
United States,Sep 15 2021,41614579
United States,Sep  8 2021,40564420
United States,Sep  1 2021,39485058
United States,Aug 25 2021,38306917
United States,Aug 18 2021,37254015
United States,Aug 11 2021,36262342
United States,Aug  4 2021,35410736
United States,Jul 28 2021,34728757
United States,Jul 21 2021,34260876
United States,Jul 14 2021,33970483
United States,Jul  7 2021,33719067
United States,Jun 30 2021,33585613
United States,Jun 23 2021,33487307
United States,Jun 16 2021,33403245
United States,Jun  9 2021,33314913
United States,Jun  2 2021,33213136
United States,May 26 2021,33092405
United States,May 19 2021,32927687
United States,May 12 2021,32714416
United States,May  5 2021,32453735
United States,Apr 28 2021,32119086
United States,Apr 21 2021,31745744
United States,Apr 14 2021,31295424
United States,Apr  7 2021,30801838
United States,Mar 31 2021,30344496
United States,Mar 24 2021,29896264
United States,Mar 17 2021,29493964
United States,Mar 10 2021,29115863
United States,Mar  3 2021,28724522
United States,Feb 24 2021,28277585
United States,Feb 17 2021,27811049
United States,Feb 10 2021,27267082
United States,Feb  3 2021,26534374
United States,Jan 27 2021,25610825
United States,Jan 20 2021,24478922
United States,Jan 13 2021,23097842
United States,Jan  6 2021,21377823
United States,Dec 30 2020,19785604
United States,Dec 23 2020,18475347
United States,Dec 16 2020,16958083
United States,Dec  9 2020,15414409
United States,Dec  2 2020,13930683
United States,Nov 25 2020,12750185
United States,Nov 18 2020,11493469
United States,Nov 11 2020,10378408
United States,Nov  4 2020,9484809
United States,Oct 28 2020,8833075
United States,Oct 21 2020,8311862
United States,Oct 14 2020,7881149
United States,Oct  7 2020,7520647
United States,Sep 30 2020,7210605
United States,Sep 23 2020,6911149
United States,Sep 16 2020,6618211
United States,Sep  9 2020,6342893
United States,Sep  2 2020,6083638
United States,Aug 26 2020,5798956
United States,Aug 19 2020,5504765
United States,Aug 12 2020,5155368
United States,Aug  5 2020,4755666
United States,Jul 29 2020,4342741
United States,Jul 22 2020,3886612
United States,Jul 15 2020,3428908
United States,Jul  8 2020,3006246
United States,Jul  1 2020,2648002
United States,Jun 24 2020,2350227
United States,Jun 17 2020,2139504
United States,Jun 10 2020,1984157
United States,Jun  3 2020,1835966
United States,May 27 2020,1692096
United States,May 20 2020,1545702
United States,May 13 2020,1388736
United States,May  6 2020,1227949
United States,Apr 29 2020,1039450
United States,Apr 22 2020,840344
United States,Apr 15 2020,641785
United States,Apr  8 2020,435394
United States,Apr  1 2020,218046
United States,Mar 25 2020,67439
United States,Mar 18 2020,8987
United States,Mar 11 2020,1273
United States,Mar  4 2020,177
United States,Feb 26 2020,80
United States,Feb 19 2020,53
United States,Feb 12 2020,37
United States,Feb  5 2020,24
United States,Jan 29 2020,12
