Data Table for Weekly Case Trends - The United States
Date generated: Sat Apr 08 2023 17:10:10 GMT+0800 (China Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
United States,Apr  5 2023,120820,0
United States,Mar 29 2023,136879,5347
United States,Mar 22 2023,157049,18232
United States,Mar 15 2023,167142,347
United States,Mar  8 2023,186977,0
United States,Mar  1 2023,228963,0
United States,Feb 22 2023,237596,29950
United States,Feb 15 2023,263396,0
United States,Feb  8 2023,285446,0
United States,Feb  1 2023,281732,4507
United States,Jan 25 2023,306858,0
United States,Jan 18 2023,338998,0
United States,Jan 11 2023,432626,0
United States,Jan  4 2023,481101,0
United States,Dec 28 2022,401918,0
United States,Dec 21 2022,495664,21397
United States,Dec 14 2022,455258,0
United States,Dec  7 2022,472349,0
United States,Nov 30 2022,310767,0
United States,Nov 23 2022,309605,0
United States,Nov 16 2022,280804,0
United States,Nov  9 2022,290503,0
United States,Nov  2 2022,274336,0
United States,Oct 26 2022,261122,0
United States,Oct 19 2022,260983,0
United States,Oct 12 2022,265444,0
United States,Oct  5 2022,315100,0
United States,Sep 28 2022,340740,0
United States,Sep 21 2022,394109,0
United States,Sep 14 2022,468770,0
United States,Sep  7 2022,523740,0
United States,Aug 31 2022,616211,0
United States,Aug 24 2022,650734,0
United States,Aug 17 2022,700362,0
United States,Aug 10 2022,760486,0
United States,Aug  3 2022,833164,0
United States,Jul 27 2022,926245,0
United States,Jul 20 2022,897248,0
United States,Jul 13 2022,866201,0
United States,Jul  6 2022,774930,0
United States,Jun 29 2022,770936,0
United States,Jun 22 2022,684074,0
United States,Jun 15 2022,725925,0
United States,Jun  8 2022,760289,0
United States,Jun  1 2022,717065,0
United States,May 25 2022,762871,0
United States,May 18 2022,718427,0
United States,May 11 2022,590333,0
United States,May  4 2022,457462,0
United States,Apr 27 2022,370135,0
United States,Apr 20 2022,296479,0
United States,Apr 13 2022,222684,0
United States,Apr  6 2022,200334,0
United States,Mar 30 2022,194138,0
United States,Mar 23 2022,195995,0
United States,Mar 16 2022,213794,0
United States,Mar  9 2022,268024,0
United States,Mar  2 2022,369134,0
United States,Feb 23 2022,548231,0
United States,Feb 16 2022,901225,0
United States,Feb  9 2022,1486610,0
United States,Feb  2 2022,2717826,0
United States,Jan 26 2022,4410255,0
United States,Jan 19 2022,5504701,0
United States,Jan 12 2022,5476849,0
United States,Jan  5 2022,4240657,0
United States,Dec 29 2021,2124879,0
United States,Dec 22 2021,1164363,0
United States,Dec 15 2021,841051,0
United States,Dec  8 2021,858801,0
United States,Dec  1 2021,609392,0
United States,Nov 24 2021,664335,0
United States,Nov 17 2021,616283,0
United States,Nov 10 2021,537747,0
United States,Nov  3 2021,500732,0
United States,Oct 27 2021,503567,0
United States,Oct 20 2021,531016,0
United States,Oct 13 2021,617130,0
United States,Oct  6 2021,697681,0
United States,Sep 29 2021,797480,0
United States,Sep 22 2021,907244,0
United States,Sep 15 2021,1050159,0
United States,Sep  8 2021,1079362,0
United States,Sep  1 2021,1178141,0
United States,Aug 25 2021,1052902,0
United States,Aug 18 2021,991673,0
United States,Aug 11 2021,851606,0
United States,Aug  4 2021,681979,0
United States,Jul 28 2021,467881,0
United States,Jul 21 2021,290393,0
United States,Jul 14 2021,251416,0
United States,Jul  7 2021,133454,0
United States,Jun 30 2021,98306,0
United States,Jun 23 2021,84062,0
