Data Table for Total Deaths - The United States
Date generated: Sat Apr 08 2023 17:10:25 GMT+0800 (China Standard Time)
Geography,Date,Total Deaths
United States,Apr  5 2023,1127104
United States,Mar 29 2023,1125331
United States,Mar 22 2023,1123794
United States,Mar 15 2023,1121533
United States,Mar  8 2023,1119711
United States,Mar  1 2023,1117633
United States,Feb 22 2023,1115438
United States,Feb 15 2023,1113128
United States,Feb  8 2023,1110304
United States,Feb  1 2023,1106942
United States,Jan 25 2023,1103478
United States,Jan 18 2023,1099713
United States,Jan 11 2023,1095853
United States,Jan  4 2023,1091744
United States,Dec 28 2022,1088899
United States,Dec 21 2022,1086360
United States,Dec 14 2022,1083291
United States,Dec  7 2022,1080593
United States,Nov 30 2022,1077507
United States,Nov 23 2022,1075693
United States,Nov 16 2022,1073036
United States,Nov  9 2022,1070813
United States,Nov  2 2022,1068510
United States,Oct 26 2022,1066021
United States,Oct 19 2022,1062902
United States,Oct 12 2022,1060374
United States,Oct  5 2022,1057871
United States,Sep 28 2022,1054872
United States,Sep 21 2022,1051521
United States,Sep 14 2022,1048363
United States,Sep  7 2022,1045206
United States,Aug 31 2022,1042321
United States,Aug 24 2022,1038530
United States,Aug 17 2022,1035404
United States,Aug 10 2022,1032144
United States,Aug  3 2022,1028767
United States,Jul 27 2022,1025398
United States,Jul 20 2022,1022316
United States,Jul 13 2022,1019392
United States,Jul  6 2022,1016637
United States,Jun 29 2022,1014232
United States,Jun 22 2022,1011584
United States,Jun 15 2022,1009509
United States,Jun  8 2022,1007322
United States,Jun  1 2022,1005106
United States,May 25 2022,1003210
United States,May 18 2022,1000699
United States,May 11 2022,998577
United States,May  4 2022,996420
United States,Apr 27 2022,993993
United States,Apr 20 2022,991317
United States,Apr 13 2022,988601
United States,Apr  6 2022,985149
United States,Mar 30 2022,981440
United States,Mar 23 2022,976799
United States,Mar 16 2022,971072
United States,Mar  9 2022,963251
United States,Mar  2 2022,954159
United States,Feb 23 2022,943736
United States,Feb 16 2022,930919
United States,Feb  9 2022,915710
United States,Feb  2 2022,899298
United States,Jan 26 2022,881818
United States,Jan 19 2022,864413
United States,Jan 12 2022,849982
United States,Jan  5 2022,836755
United States,Dec 29 2021,827309
United States,Dec 22 2021,817393
United States,Dec 15 2021,805742
United States,Dec  8 2021,796177
United States,Dec  1 2021,787361
United States,Nov 24 2021,780111
United States,Nov 17 2021,772022
United States,Nov 10 2021,764524
United States,Nov  3 2021,756270
United States,Oct 27 2021,747701
United States,Oct 20 2021,738008
United States,Oct 13 2021,725953
United States,Oct  6 2021,714538
United States,Sep 29 2021,701692
United States,Sep 22 2021,687493
United States,Sep 15 2021,672916
United States,Sep  8 2021,658831
United States,Sep  1 2021,647707
United States,Aug 25 2021,637321
United States,Aug 18 2021,629291
United States,Aug 11 2021,622932
United States,Aug  4 2021,617957
United States,Jul 28 2021,614821
United States,Jul 21 2021,612393
United States,Jul 14 2021,610342
United States,Jul  7 2021,608394
United States,Jun 30 2021,606695
United States,Jun 23 2021,604753
United States,Jun 16 2021,602658
United States,Jun  9 2021,600299
United States,Jun  2 2021,597554
United States,May 26 2021,593921
United States,May 19 2021,590022
United States,May 12 2021,586115
United States,May  5 2021,581834
United States,Apr 28 2021,576997
United States,Apr 21 2021,572120
United States,Apr 14 2021,567187
United States,Apr  7 2021,562130
United States,Mar 31 2021,555133
United States,Mar 24 2021,548989
United States,Mar 17 2021,541962
United States,Mar 10 2021,534476
United States,Mar  3 2021,524808
United States,Feb 24 2021,511270
United States,Feb 17 2021,497581
United States,Feb 10 2021,483255
United States,Feb  3 2021,463880
United States,Jan 27 2021,442673
United States,Jan 20 2021,419896
United States,Jan 13 2021,398221
United States,Jan  6 2021,374592
United States,Dec 30 2020,354981
United States,Dec 23 2020,337527
United States,Dec 16 2020,317896
United States,Dec  9 2020,299043
United States,Dec  2 2020,282164
United States,Nov 25 2020,269212
United States,Nov 18 2020,256317
United States,Nov 11 2020,246431
United States,Nov  4 2020,237987
United States,Oct 28 2020,230767
United States,Oct 21 2020,224601
United States,Oct 14 2020,218715
United States,Oct  7 2020,213455
United States,Sep 30 2020,208370
United States,Sep 23 2020,203158
United States,Sep 16 2020,197734
United States,Sep  9 2020,191852
United States,Sep  2 2020,186633
United States,Aug 26 2020,180499
United States,Aug 19 2020,173850
United States,Aug 12 2020,166754
United States,Aug  5 2020,159348
United States,Jul 29 2020,151877
United States,Jul 22 2020,144336
United States,Jul 15 2020,138206
United States,Jul  8 2020,132820
United States,Jul  1 2020,128431
United States,Jun 24 2020,124634
United States,Jun 17 2020,120762
United States,Jun 10 2020,116164
United States,Jun  3 2020,111021
United States,May 27 2020,104446
United States,May 20 2020,97524
United States,May 13 2020,87963
United States,May  6 2020,77475
United States,Apr 29 2020,64587
United States,Apr 22 2020,50601
United States,Apr 15 2020,35038
United States,Apr  8 2020,19388
United States,Apr  1 2020,6664
United States,Mar 25 2020,1387
United States,Mar 18 2020,202
United States,Mar 11 2020,33
United States,Mar  4 2020,11
United States,Feb 26 2020,0
United States,Feb 19 2020,0
United States,Feb 12 2020,0
United States,Feb  5 2020,0
United States,Jan 29 2020,0
