Data Table for Weekly Death Trends - The United States
Date generated: Sat Apr 08 2023 17:10:15 GMT+0800 (China Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
United States,Apr  5 2023,1773,0
United States,Mar 29 2023,1537,0
United States,Mar 22 2023,2261,0
United States,Mar 15 2023,1822,0
United States,Mar  8 2023,2078,0
United States,Mar  1 2023,2195,0
United States,Feb 22 2023,2310,0
United States,Feb 15 2023,2762,62
United States,Feb  8 2023,3063,299
United States,Feb  1 2023,3481,-17
United States,Jan 25 2023,3765,0
United States,Jan 18 2023,3860,0
United States,Jan 11 2023,4109,0
United States,Jan  4 2023,2845,0
United States,Dec 28 2022,2539,0
United States,Dec 21 2022,3069,0
United States,Dec 14 2022,2698,0
United States,Dec  7 2022,2813,273
United States,Nov 30 2022,1814,0
United States,Nov 23 2022,2657,0
United States,Nov 16 2022,2223,0
United States,Nov  9 2022,2298,5
United States,Nov  2 2022,2483,6
United States,Oct 26 2022,2562,557
United States,Oct 19 2022,2528,0
United States,Oct 12 2022,2503,0
United States,Oct  5 2022,2999,0
United States,Sep 28 2022,2882,469
United States,Sep 21 2022,3158,0
United States,Sep 14 2022,3157,0
United States,Sep  7 2022,2885,0
United States,Aug 31 2022,3791,0
United States,Aug 24 2022,3126,0
United States,Aug 17 2022,3260,0
United States,Aug 10 2022,3377,0
United States,Aug  3 2022,3369,0
United States,Jul 27 2022,3082,0
United States,Jul 20 2022,2924,0
United States,Jul 13 2022,2755,0
United States,Jul  6 2022,2405,0
United States,Jun 29 2022,2648,0
United States,Jun 22 2022,2075,0
United States,Jun 15 2022,2187,0
United States,Jun  8 2022,2216,0
United States,Jun  1 2022,1896,0
United States,May 25 2022,2511,0
United States,May 18 2022,2122,0
United States,May 11 2022,2157,0
United States,May  4 2022,2427,0
United States,Apr 27 2022,2676,0
United States,Apr 20 2022,2716,0
United States,Apr 13 2022,3452,0
United States,Apr  6 2022,3709,0
United States,Mar 30 2022,4641,0
United States,Mar 23 2022,5727,0
United States,Mar 16 2022,7821,0
United States,Mar  9 2022,9092,0
United States,Mar  2 2022,10423,0
United States,Feb 23 2022,12817,0
United States,Feb 16 2022,15209,0
United States,Feb  9 2022,16412,0
United States,Feb  2 2022,17480,0
United States,Jan 26 2022,17405,0
United States,Jan 19 2022,14431,0
United States,Jan 12 2022,13227,0
United States,Jan  5 2022,9446,0
United States,Dec 29 2021,9916,0
United States,Dec 22 2021,11651,0
United States,Dec 15 2021,9565,0
United States,Dec  8 2021,6374,2442
United States,Dec  1 2021,7250,0
United States,Nov 24 2021,8089,0
United States,Nov 17 2021,7498,0
United States,Nov 10 2021,8254,0
United States,Nov  3 2021,8569,0
United States,Oct 27 2021,9693,0
United States,Oct 20 2021,12055,0
United States,Oct 13 2021,11415,0
United States,Oct  6 2021,12846,0
United States,Sep 29 2021,14199,0
United States,Sep 22 2021,14577,0
United States,Sep 15 2021,14085,0
United States,Sep  8 2021,11124,0
United States,Sep  1 2021,10386,0
United States,Aug 25 2021,8030,0
United States,Aug 18 2021,6359,0
United States,Aug 11 2021,4975,0
United States,Aug  4 2021,3136,0
United States,Jul 28 2021,2428,0
United States,Jul 21 2021,2051,0
United States,Jul 14 2021,1948,0
United States,Jul  7 2021,1699,0
United States,Jun 30 2021,1942,0
United States,Jun 23 2021,2095,0
United States,Jun 16 2021,2359,0
United States,Jun  9 2021,2745,0
United States,Jun  2 2021,3633,0
United States,May 26 2021,3899,0
United States,May 19 2021,3907,0
United States,May 12 2021,4281,0
United States,May  5 2021,4837,0
United States,Apr 28 2021,4877,0
United States,Apr 21 2021,4933,0
United States,Apr 14 2021,5057,0
United States,Apr  7 2021,6997,0
United States,Mar 31 2021,6144,0
United States,Mar 24 2021,7027,0
United States,Mar 17 2021,7486,0
United States,Mar 10 2021,9668,0
United States,Mar  3 2021,13538,0
United States,Feb 24 2021,13689,0
United States,Feb 17 2021,14326,0
United States,Feb 10 2021,19375,0
United States,Feb  3 2021,21207,0
United States,Jan 27 2021,22777,0
United States,Jan 20 2021,21675,0
United States,Jan 13 2021,23629,0
United States,Jan  6 2021,19611,0
United States,Dec 30 2020,17454,0
United States,Dec 23 2020,19631,0
United States,Dec 16 2020,18853,0
United States,Dec  9 2020,16879,0
United States,Dec  2 2020,12952,0
United States,Nov 25 2020,12895,0
United States,Nov 18 2020,9886,0
United States,Nov 11 2020,8444,0
United States,Nov  4 2020,7220,0
United States,Oct 28 2020,6166,0
United States,Oct 21 2020,5886,0
United States,Oct 14 2020,5260,0
United States,Oct  7 2020,5085,0
United States,Sep 30 2020,5212,0
United States,Sep 23 2020,5424,0
United States,Sep 16 2020,5882,0
United States,Sep  9 2020,5219,0
United States,Sep  2 2020,6134,0
United States,Aug 26 2020,6649,0
United States,Aug 19 2020,7096,0
United States,Aug 12 2020,7406,0
United States,Aug  5 2020,7471,0
United States,Jul 29 2020,7541,0
United States,Jul 22 2020,6130,0
United States,Jul 15 2020,5386,0
United States,Jul  8 2020,4389,0
United States,Jul  1 2020,3797,0
United States,Jun 24 2020,3872,0
United States,Jun 17 2020,4598,0
United States,Jun 10 2020,5143,0
United States,Jun  3 2020,6575,0
United States,May 27 2020,6922,0
United States,May 20 2020,9561,0
United States,May 13 2020,10488,0
United States,May  6 2020,12888,0
United States,Apr 29 2020,13986,0
United States,Apr 22 2020,15563,0
United States,Apr 15 2020,15650,0
United States,Apr  8 2020,12724,0
United States,Apr  1 2020,5277,0
United States,Mar 25 2020,1185,0
United States,Mar 18 2020,169,0
United States,Mar 11 2020,22,0
United States,Mar  4 2020,11,0
United States,Feb 26 2020,0,0
United States,Feb 19 2020,0,0
United States,Feb 12 2020,0,0
United States,Feb  5 2020,0,0
United States,Jan 29 2020,0,0
